trace_id,legacy_success,legacy_error,Vp_bayes_median,Vp_legacy_value,Vp_delta,Te_bayes_median,Te_legacy_value,Te_delta,ne_bayes_median,ne_legacy_value,ne_delta,n_qn_bayes_median,n_qn_legacy_value,n_qn_delta,p_bayes_median,p_legacy_value,p_delta
kr_15sccm_17p5a,True,,16.064847154985255,13.910479,2.1543681549852547,2.679573125336765,1.7265760816359301,0.9529970437008348,1.0835249057207197e+17,5.1962708488663864e+16,5.6389782083408104e+16,1.0835249057207197e+17,1.4065537047569165e+18,-1.2982012141848445e+18,1.8950977432920983,,
kr_15sccm_18a,True,,17.192226802165287,15.574154,1.6180728021652868,3.15189825324061,1.7703077822391609,1.381590471001449,1.0502403654733254e+17,8.95773186671637e+16,1.5446717880168848e+16,1.0502403654733254e+17,1.0079406902076288e+18,-9.029166536602962e+17,2.6659317957029955,,
kr_15sccm_19a,True,,17.34960339853037,16.410975,0.9386283985303692,3.2896933491388607,1.8314159617504873,1.4582773873883734,1.0767813744526685e+17,1.1023394609778293e+17,-2555808652516080.0,1.0767813744526685e+17,1.0933404338239379e+18,-9.856622963786711e+17,2.741078287418186,,
kr_15sccm_20a,True,,19.43339142806864,15.91144,3.521951428068638,3.709273284701883,1.7825675443630293,1.9267057403388537,1.8657910089926323e+17,1.0090484286970893e+17,8.56742580295543e+16,1.8657910089926323e+17,1.0892702985763338e+18,-9.026911976770706e+17,2.548587182035754,,
kr_15sccm_21a,True,,18.827565227018148,16.579248,2.2483172270181484,3.6647492130967256,1.8644480535387526,1.800301159557973,1.4679351757609312e+17,1.1254630015455035e+17,3.424721742154277e+16,1.4679351757609312e+17,1.2258792201995873e+18,-1.0790857026234941e+18,2.6254458367846945,,
kr_15sccm_22a,True,,20.605373913106853,16.579355,4.026018913106853,4.107329250894077,1.9217021811703485,2.1856270697237283,2.1284545053466784e+17,1.1273147106498422e+17,1.0011397946968362e+17,2.1284545053466784e+17,1.3302057744647496e+18,-1.1173603239300818e+18,2.5299001912788706,,
kr_15sccm_22p5a,True,,19.23834795513615,16.409765,2.8285829551361488,3.3762842346041673,1.8880787845086666,1.4882054500955006,1.9051811311697696e+17,1.0868114732876608e+17,8.183696578821088e+16,1.9051811311697696e+17,1.4135579296014984e+18,-1.2230398164845215e+18,1.8227683354775461,,
kr_15sccm_23a,True,,18.624920666941343,16.579231,2.0456896669413425,3.451250579404266,1.9739663567396832,1.4772842226645826,1.482422879814361e+17,1.076364920287079e+17,4.060579595272819e+16,1.482422879814361e+17,1.4167500762885e+18,-1.2685077883070638e+18,1.9792393728269346,,
kr_15sccm_24a,True,,21.31077164277097,18.252413,3.058358642770969,4.257986635028307,1.9693618749875705,2.2886247600407366,1.4934020907725027e+17,1.0623724013665262e+17,4.310296894059765e+16,1.4934020907725027e+17,1.6217519191727096e+18,-1.4724117100954593e+18,2.5669054821661383,,
kr_15sccm_25a,True,,19.535484864488264,17.918736,1.6167488644882653,4.054876452952565,2.0881330984500597,1.9667433545025057,1.0708060540685491e+17,9.815940851897731e+16,8921196887877600.0,1.0708060540685491e+17,1.6715642779376172e+18,-1.5644836725307622e+18,2.343956058056666,,
kr_15sccm_27p5a,True,,18.73514758893146,16.916073,1.8190745889314606,3.238108911405987,2.354230551781007,0.8838783596249802,1.7376163961787536e+17,1.0892663995850734e+17,6.483499965936802e+16,1.7376163961787536e+17,1.890926177296741e+18,-1.7171645376788657e+18,1.3283961506970492,,
